iter	Passed	Remaining
591	2279	1571
592	2283	1567
593	2287	1563
594	2290	1559
595	2294	1555
596	2298	1551
597	2302	1547
598	2306	1543
599	2309	1539
600	2313	1536
601	2317	1532
602	2321	1528
603	2325	1524
604	2328	1520
605	2332	1516
606	2336	1512
607	2340	1508
608	2344	1505
609	2346	1500
610	2350	1496
611	2354	1492
612	2357	1488
613	2361	1484
614	2365	1480
615	2369	1477
616	2373	1473
617	2377	1469
618	2381	1465
619	2384	1461
620	2388	1457
621	2392	1453
622	2396	1450
623	2400	1446
624	2404	1442
625	2407	1438
626	2412	1435
627	2416	1431
628	2420	1427
629	2424	1423
630	2428	1420
631	2432	1416
632	2436	1412
633	2440	1408
634	2444	1404
635	2447	1400
636	2451	1396
637	2455	1393
638	2458	1389
639	2462	1385
640	2466	1381
641	2470	1377
642	2473	1373
643	2477	1369
644	2482	1366
645	2486	1362
646	2489	1358
647	2493	1354
648	2497	1350
649	2501	1346
650	2504	1342
651	2508	1338
652	2512	1335
653	2516	1331
654	2519	1327
655	2523	1323
656	2527	1319
657	2530	1315
658	2534	1311
659	2537	1307
660	2541	1303
661	2545	1299
662	2548	1295
663	2552	1291
664	2555	1287
665	2559	1283
666	2563	1279
667	2566	1275
668	2570	1271
669	2573	1267
670	2577	1263
671	2581	1259
672	2584	1255
673	2588	1252
674	2592	1248
675	2595	1244
676	2599	1240
677	2603	1236
678	2606	1232
679	2610	1228
680	2614	1224
681	2618	1220
682	2622	1217
683	2626	1213
684	2629	1209
685	2634	1205
686	2637	1201
687	2641	1197
688	2645	1194
689	2649	1190
690	2652	1186
691	2656	1182
692	2660	1178
693	2663	1174
694	2667	1170
695	2672	1167
696	2675	1163
697	2679	1159
698	2683	1155
699	2686	1151
700	2690	1147
701	2693	1143
702	2697	1139
703	2701	1135
704	2705	1132
705	2709	1128
706	2712	1124
707	2716	1120
708	2720	1116
709	2724	1112
710	2727	1108
711	2731	1105
712	2735	1101
713	2739	1097
714	2743	1093
715	2747	1089
716	2750	1085
717	2755	1082
718	2759	1078
719	2763	1074
720	2766	1070
721	2770	1066
722	2773	1062
723	2777	1058
724	2781	1055
725	2785	1051
726	2788	1047
727	2792	1043
728	2796	1039
729	2799	1035
730	2803	1031
731	2807	1027
732	2810	1023
733	2814	1019
734	2818	1016
735	2821	1012
736	2825	1008
737	2829	1004
738	2833	1000
739	2836	996
740	2840	992
741	2844	989
742	2848	985
743	2852	981
744	2855	977
745	2859	973
746	2864	970
747	2868	966
748	2872	962
749	2876	958
750	2880	954
751	2884	951
752	2888	947
753	2892	943
754	2896	939
755	2900	936
756	2904	932
757	2907	928
758	2911	924
759	2915	920
760	2919	916
761	2923	912
762	2927	909
763	2931	905
764	2935	901
765	2938	897
766	2942	893
767	2946	890
768	2950	886
769	2954	882
770	2958	878
771	2962	874
772	2966	871
773	2970	867
774	2973	863
775	2977	859
776	2981	855
777	2985	851
778	2989	848
779	2993	844
780	2997	840
781	3000	836
782	3004	832
783	3008	828
784	3012	824
785	3015	821
786	3019	817
787	3023	813
788	3026	809
789	3030	805
790	3034	801
791	3037	797
792	3041	793
793	3045	790
794	3048	786
795	3052	782
796	3056	778
797	3060	774
798	3064	770
799	3067	766
800	3071	763
801	3075	759
802	3079	755
803	3082	751
804	3086	747
805	3090	743
806	3093	739
807	3098	736
808	3102	732
809	3105	728
810	3109	724
811	3113	720
812	3117	716
813	3121	713
814	3125	709
815	3129	705
816	3133	701
817	3137	698
818	3141	694
819	3145	690
820	3148	686
821	3152	682
822	3156	678
823	3159	674
824	3163	671
825	3167	667
826	3171	663
827	3175	659
828	3179	655
829	3183	652
830	3187	648
831	3191	644
832	3195	640
833	3199	636
834	3203	632
835	3206	629
836	3210	625
837	3214	621
838	3218	617
839	3222	613
840	3225	609
841	3229	606
842	3233	602
843	3236	598
844	3240	594
845	3244	590
846	3248	586
847	3252	583
848	3256	579
849	3260	575
850	3264	571
851	3268	567
852	3271	563
853	3275	560
854	3279	556
855	3282	552
856	3286	548
857	3290	544
858	3294	540
859	3297	536
860	3301	533
861	3306	529
862	3308	525
863	3312	521
864	3315	517
865	3319	513
866	3323	509
867	3327	505
868	3331	502
869	3334	498
870	3338	494
871	3342	490
872	3345	486
873	3349	482
874	3353	479
875	3356	475
876	3360	471
877	3364	467
878	3367	463
879	3371	459
880	3375	455
881	3379	452
882	3383	448
883	3387	444
884	3390	440
885	3394	436
886	3398	432
887	3402	429
888	3406	425
889	3410	421
890	3413	417
891	3417	413
892	3421	409
893	3425	406
894	3428	402
895	3432	398
896	3436	394
897	3439	390
898	3443	386
899	3447	383
900	3450	379
901	3454	375
902	3458	371
903	3462	367
904	3465	363
905	3469	359
906	3473	356
907	3477	352
908	3481	348
909	3485	344
910	3488	340
911	3492	337
912	3496	333
913	3500	329
914	3504	325
915	3508	321
916	3512	317
917	3515	314
918	3519	310
919	3523	306
920	3527	302
921	3531	298
922	3535	294
923	3538	291
924	3543	287
925	3546	283
926	3550	279
927	3554	275
928	3558	271
929	3562	268
930	3565	264
931	3569	260
932	3573	256
933	3577	252
934	3580	248
935	3584	245
936	3588	241
937	3592	237
938	3596	233
939	3600	229
940	3604	226
941	3609	222
942	3612	218
943	3616	214
944	3620	210
945	3624	206
946	3628	203
947	3631	199
948	3635	195
949	3639	191
950	3643	187
951	3646	183
952	3650	180
953	3654	176
954	3658	172
955	3661	168
956	3665	164
957	3669	160
958	3673	157
959	3677	153
960	3680	149
961	3684	145
962	3688	141
963	3692	137
964	3696	134
965	3700	130
966	3704	126
967	3708	122
968	3712	118
969	3716	114
970	3719	111
971	3723	107
972	3727	103
973	3731	99
974	3735	95
975	3738	91
976	3742	88
977	3746	84
978	3750	80
979	3753	76
980	3757	72
981	3761	68
982	3765	65
983	3769	61
984	3773	57
985	3777	53
986	3780	49
987	3784	45
988	3788	42
989	3792	38
990	3796	34
991	3800	30
992	3803	26
993	3807	22
994	3811	19
995	3815	15
996	3818	11
997	3822	7
998	3826	3
999	3829	0
